comercio,direccion,telefono,horario,descripcion,locales,comercio link,comerciourl,descuento,descuento2,categoria url,logo url,beneficio url,beneficio,beneficio url2
Pretty Woman,"Calle El Rodeo 13442, local 2B, Lo Barnechea.",,Lu-Vi: 9:00 a 21:00 hrs.  Sá: 9:00 a 14:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,Lo Barnechea,Pretty Woman,www.prettywoman.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_pretty.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_prettywoman&PAIS=CL&CLASS=7_7,40% de descuento en tratamientos faciales y corporales.  Gratis 1 hora de sesión corporal mas evaluación de su peso y grasa corporal.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_prettywoman12&PAIS=CL&CLASS=7_7
Belleza Urbana,"Nueva Costanera 4229 Local 4, Las Condes.",,Ma - Vi 09:00 a 20.00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,,Belleza Urbana,www.bellezaurbana.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_burbana.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_burbana&PAIS=CL&CLASS=7_7,20% Dcto. aplicado sobre total de la cuenta. Se excluye promociones vigentes.,
Kendha,"Av. La Dehesa 1201 - 6° piso, of. 626 - Torre Oriente, Lo Barnechea",,Lu-Vi: 08:00 a 20:00 hrs.  Sá: 09:00 a 14:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,,Kendha,www.kendha.com,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_kendha.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_kendha&PAIS=CL&CLASS=7_7,"Desde un 20% de descuento en servicios.  Incluye: Nutrición, Plataforma Vibratoria, Cosmetología,  Tratamientos Corporales, Aparatología, Omega 3 ZNC. No válido en servicios de Medicina Estética.",
La Bonita,"Luis Pasteur 5515 local 8, Vitacura.",,Lu - Sá: 10:00 a 19:30 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,,La Bonita,www.labonita.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_bonita.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_bonita1&PAIS=CL&CLASS=7_7,20% Dcto. en todos los servicios. Excluye venta de productos y promociones.,
Estudio de Maquillaje Tere Irarrázabal,"Luis Pasteur 6477, Piso 2, Vitacura.",,Lu - Vi: 10:00 a 14:00 hrs y 16:00 a 20:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,,Tere Irarrázabal,www.tereirarrazabal.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_terei.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_terei&PAIS=CL&CLASS=7_7,20% Dcto. en Cursos de Maquillaje. Excluye otras promociones.,
Depilab,"General Holley 2381 Of. 1004, Providencia",,Lu - Sá: 09:00 a 14:00 y 15:00 a 19:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,Providencia,Depilab,www.depilab.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_depilab.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_depilab&PAIS=CL&CLASS=7_7,50% Dcto. en Depilación y 40% Dcto. en Tratamientos Corporales.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_depilab1&PAIS=CL&CLASS=7_7
Depilab,"Av. Las Condes 10373 Of. 26, Las Condes",,Lu - Sá: 09:00 a 14:00 y 15:00 a 19:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,Las Condes,Depilab,www.depilab.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_depilab.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_depilab&PAIS=CL&CLASS=7_7,50% Dcto. en Depilación y 40% Dcto. en Tratamientos Corporales.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_depilab2&PAIS=CL&CLASS=7_7
Peluquería Rodrigo Mejias,"Campos 194 Local 2, Rancagua",,Lu - Vi: 09:30 a 20:00 hrs. Sá: 09:30 a 19:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,,Peluquería Rodrigo Mejias,,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_rodrigo.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_rodrigo&PAIS=CL&CLASS=7_7,"20% Dcto. en cortes, peinados, color y tratamientos.",
Les Gemeaux Esthetique,"Principe de Gales 6750, La Reina",,Lu a Vi 10:00 a 21:00 hrs.  Sa 09:00 a 15:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,La Reina,Les Gemeaux Esthetique,www.lesgemeaux.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_gemeaux.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_gemeaux&PAIS=CL&CLASS=7_7,20% Dcto. en total de la cuenta. Excluye promociones.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_gemeaux1&PAIS=CL&CLASS=7_7
Les Gemeaux Esthetique,"Alsacia 127, Las Condes",,Lu a Vi 10:00 a 21:00 hrs.  Sa 09:00 a 15:00 hrs.,Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos y promociones.,Las Condes,Les Gemeaux Esthetique,www.lesgemeaux.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRBeneficios&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_gemeaux.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_gemeaux&PAIS=CL&CLASS=7_7,20% Dcto. en total de la cuenta. Excluye promociones,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRb_gemeaux2&PAIS=CL&CLASS=7_7
